Algorithm,DataSet,FeatureCount,RMSE.ByRating,RMSE.ByUser,nDCG,TopN.nDCG
PersMean,FullData,,0.905876387,0.826175471,0.959435168,0.384743124
ItemItem,FullData,,0.857777245,0.779570418,0.959634423,0.37810478
SVDGlobalMean,FullData,1,0.972929267,0.910746895,0.945390766,0.305419543
SVDUserMean,FullData,1,0.903808742,0.827516611,0.959822589,0.372745259
SVDItemMean,FullData,1,0.917018895,0.843599442,0.959741619,0.387834966
SVDGlobalMean,FullData,5,0.881897443,0.811397735,0.965746021,0.443583402
SVDUserMean,FullData,5,0.867083221,0.790673672,0.966805339,0.433450204
SVDPersMean,FullData,1,0.88272299,0.804598961,0.962428404,0.396681666
SVDItemMean,FullData,5,0.872610846,0.800588938,0.966923416,0.423931587
SVDPersMean,FullData,5,0.853940631,0.778152513,0.967885532,0.418311077
SVDGlobalMean,FullData,10,0.858361684,0.789575012,0.968103621,0.466388359
SVDUserMean,FullData,10,0.850518707,0.775044496,0.968240102,0.448240928
SVDItemMean,FullData,10,0.846723012,0.77675809,0.969719386,0.441805084
SVDGlobalMean,FullData,15,0.854119778,0.785037622,0.968500325,0.474704245
SVDUserMean,FullData,15,0.844970488,0.770024356,0.968995614,0.457093547
SVDPersMean,FullData,10,0.8351505,0.759940717,0.970459726,0.43107153
SVDItemMean,FullData,15,0.837771032,0.768185325,0.970102393,0.444367324
SVDGlobalMean,FullData,20,0.863966861,0.793684661,0.967279224,0.464331376
SVDPersMean,FullData,15,0.8250121,0.750742811,0.970822058,0.432367204
SVDUserMean,FullData,20,0.850274568,0.774629601,0.967935695,0.444317883
SVDItemMean,FullData,20,0.839534066,0.770142145,0.969973876,0.449218515
SVDGlobalMean,FullData,25,0.872081273,0.80108617,0.96616405,0.462023969
SVDPersMean,FullData,20,0.823846575,0.749483212,0.969356015,0.432209452
SVDUserMean,FullData,25,0.854137601,0.778635797,0.966548157,0.443471962
SVDItemMean,FullData,25,0.849386785,0.778704813,0.969183027,0.443093479
SVDGlobalMean,FullData,30,0.882588293,0.811383617,0.965624848,0.453618447
SVDPersMean,FullData,25,0.827607404,0.753264512,0.969076292,0.425354559
SVDUserMean,FullData,30,0.858779892,0.782653082,0.965570495,0.433673874
SVDItemMean,FullData,30,0.856728694,0.78562414,0.969145156,0.441687967
SVDPersMean,FullData,30,0.830486911,0.756445106,0.969394851,0.426818324
SVDGlobalMean,FullData,40,0.900092056,0.829495892,0.964162212,0.435151233
SVDItemMean,FullData,40,0.873714081,0.80362866,0.968009784,0.424537407
SVDUserMean,FullData,40,0.870830946,0.795641134,0.964578784,0.416956259
SVDPersMean,FullData,40,0.840680813,0.765796444,0.96856095,0.412857316
SVDGlobalMean,FullData,50,0.921586893,0.85147151,0.962474269,0.408231398
PersMean,FullData,,0.909835789,0.828817471,0.962576642,0.395936127
SVDItemMean,FullData,50,0.887802216,0.818412005,0.967803791,0.416259933
SVDUserMean,FullData,50,0.882925443,0.808618537,0.962746269,0.391583107
ItemItem,FullData,,0.854105478,0.775713893,0.967990223,0.391379698
SVDPersMean,FullData,50,0.847925776,0.77347123,0.968440427,0.402162925
SVDGlobalMean,FullData,1,0.987590535,0.921258903,0.946435235,0.302754694
SVDUserMean,FullData,1,0.908449839,0.828176139,0.960845725,0.383935271
SVDItemMean,FullData,1,0.927570136,0.851182503,0.963228736,0.398696025
SVDGlobalMean,FullData,5,0.887026319,0.813115471,0.966988572,0.441337525
SVDItemMean,FullData,5,0.874430586,0.799775678,0.968383153,0.438143369
SVDUserMean,FullData,5,0.864942999,0.787364849,0.968150046,0.438391344
SVDPersMean,FullData,1,0.890514107,0.808791482,0.963922707,0.399219513
SVDItemMean,FullData,10,0.855452697,0.783714925,0.970734984,0.456973403
SVDGlobalMean,FullData,10,0.865659346,0.794945494,0.970798685,0.468080058
SVDPersMean,FullData,5,0.852504731,0.77447509,0.969322338,0.43139732
SVDUserMean,FullData,10,0.842802679,0.768976707,0.971120957,0.450938741
SVDGlobalMean,FullData,15,0.86329312,0.791977701,0.971619773,0.476387239
SVDPersMean,FullData,10,0.830526321,0.755827625,0.971244315,0.443764991
SVDItemMean,FullData,15,0.851675565,0.778671179,0.971719977,0.459870216
SVDUserMean,FullData,15,0.841159951,0.767375445,0.971438943,0.457416958
SVDGlobalMean,FullData,20,0.868393644,0.798093136,0.970341527,0.468184946
SVDPersMean,FullData,15,0.826785513,0.75163233,0.971796509,0.448555094
SVDItemMean,FullData,20,0.854837445,0.782867822,0.971417555,0.458189435
